sample,frequency_index,frequency_hz,split,directions,paper_error_db,complex_nmse_db,magnitude_nmse_db
4,3,8268.75,known,330,-152.82733212128798,-152.13358628286966,-146.26702958510654
4,3,8268.75,all,1260,-3.493537694416384,-2.705910201519357,-8.636270970270918
4,4,10335.9375,unknown,930,0.09292025710959594,-0.21765383114157888,-6.48750839642604
4,4,10335.9375,known,330,-152.8573090263799,-152.22582265010035,-146.7107417505404
4,4,10335.9375,all,1260,-2.550213666182855,-1.515380673880171,-7.785235239164617
4,5,12403.125,unknown,930,1.6571455752324589,1.540660731897534,-6.697464147125444
4,5,12403.125,known,330,-153.41816822217683,-152.4160232404281,-146.8742722695412
4,5,12403.125,all,1260,-0.9584215973535792,0.2533463649068944,-7.98477851411607
4,6,14470.3125,unknown,930,1.3018980831304447,1.4589859376052154,-6.139982628295206
4,6,14470.3125,known,330,-152.86834701347036,-151.9587730392896,-146.26204777826666
4,6,14470.3125,all,1260,-1.3287112587718084,0.15506713040561237,-7.443901435494795
mean,0,2067.1875,unknown,930,-16.377389496721225,-15.99465783067773,-19.1020312323882
mean,0,2067.1875,known,330,-150.39912295204851,-148.870411712717,-146.05337420488274
mean,0,2067.1875,all,1260,-19.010019749646556,-17.30327573321402,-20.410649134924263
mean,1,4134.375,unknown,930,-11.386932847034624,-11.524443547377619,-14.322574562534236
mean,1,4134.375,known,330,-150.35065974337823,-148.71690125330755,-145.9969661724148
mean,1,4134.375,all,1260,-14.022918718414283,-12.83283114311439,-15.630962158270933
mean,2,6201.5625,unknown,930,-7.072602658105346,-7.675097635120739,-11.42762911074936
mean,2,6201.5625,known,330,-150.17642720277135,-148.979652922651,-145.4712196229408
mean,2,6201.5625,all,1260,-9.686424878070389,-8.970927851121534,-12.723459326750104
mean,3,8268.75,unknown,930,-1.970709049338879,-2.425459758513714,-7.2846170344969075
mean,3,8268.75,known,330,-150.81788648465204,-149.62576005210508,-145.84597331519194
mean,3,8268.75,all,1260,-4.632026164163826,-3.7534082611320487,-8.612565537115223
mean,4,10335.9375,unknown,930,-1.51476526336335,-1.6995976475481949,-5.7075333369759775
mean,4,10335.9375,known,330,-150.78031194965564,-149.73242854162734,-146.20154346377768
mean,4,10335.9375,all,1260,-4.157899149900931,-2.9973244902867844,-7.005260179714556
mean,5,12403.125,unknown,930,0.18139730337196733,0.14839715015789906,-5.838093525902935
mean,5,12403.125,known,330,-150.37255731731844,-148.76341328145878,-145.42715714862612
mean,5,12403.125,all,1260,-2.4341698324680863,-1.138917216832739,-7.125407892893559
mean,6,14470.3125,unknown,930,0.4487308236420019,0.6314603279912621,-4.266203430506302
mean,6,14470.3125,known,330,-150.80981458985542,-149.65112078033494,-145.88115860171118
mean,6,14470.3125,all,1260,-2.18187849432025,-0.6724584792083415,-5.570122237705895
